first_name,last_name,address,zip_code,city,phone_number,e-mail,date_of_birth
Jan,Peeters,Lentestraat 5,2000,Antwerpen,024771211,jan.peeters@l-v-l.be,1969-06-09
Roger,Smets,Rietbroek 6,2000,Antwerpen,024771211,roger.smets@l-v-l.be,1969-06-09
Rudy,Mertens,Asberg 33,2000,Antwerpen,024771211,rudy.mertens@l-v-l.be,1969-06-09
Jozef,Marinus,Middelheimlaan 1,2000,Antwerpen,024771211,jozef.marinus@l-v-l.be,1969-06-09
Marc,Mols,Meir 1,2000,Antwerpen,024771211,marc.mols@l-v-l.be,1969-06-09
Ruben,Van Den Heuvel,Heuvelstraat 89,2000,Antwerpen,024771211,ruben.vandenheuvel@l-v-l.be,1969-06-09
David,De Ridder,Kasteelstraat 6,2000,Antwerpen,024771211,david.deridder@l-v-l.be,1969-06-09
Ward,Horemans,Katerstraat 3,2000,Antwerpen,024771211,ward.horemans@l-v-l.be,1969-06-09
Christophe,Verdonck,Sint-Pietersvliet 7,2000,Antwerpen,024771211,christophe.verdonck@uantwerpen.be,1969-06-09
Jose,Oramas,Sint-Pietersvliet 7,2000,Antwerpen,024771211,jose.oramas@uantwerpen.be,1969-06-09
